대분류,실내/실외,소분류,주소,이름,평점,투표횟수,태깅
예술,실내,전통문화,광주 동구 동명동 200-196,청공소리 한옥체험장,0,0,예술 전통문화 청공소리 한옥체험장
역사,실내,5.18운동,광주 동구 중앙로 302,4·19혁명기념관,4.1,21,역사 5.18운동 4·19혁명기념관
역사,실내,5.18운동,광주광역시 동구 금남로 221,5·18민주화운동기록관,4.6,636,역사 5.18운동 5·18민주화운동기록관
역사,실내,5.18운동,광주 동구 금남로 245,전일빌딩245,4.7,240,역사 5.18운동 전일빌딩245
역사,실외,5.18운동,광주 서구 내방로 152,5·18기념공원,4.4,574,역사 5.18운동 5·18기념공원
역사,실외,5.18운동,광주 동구 문화전당로 38,5·18민주광장,4.6,488,역사 5.18운동 5·18민주광장
역사,실외,5.18운동,광주 서구 상무평화로 13,5·18자유공원,4.5,360,역사 5.18운동 5·18자유공원
역사,실내,5.18운동,광주 서구 화정동 512,광주학생독립운동기념관,4.6,143,역사 5.18운동 광주학생독립운동기념관
역사,실외,5.18운동,광주광역시 서구 학생독립로 30,광주학생독립운동기념탑,4.4,21,역사 5.18운동 광주학생독립운동기념탑
역사,실내,사찰/기독교,광주광역시 남구 백서로 13,광주 구 수피아여학교 커티스메모리얼홀,4.4,7,역사 사찰/기독교 광주 구 수피아여학교 커티스메모리얼홀
역사,실내,사찰/기독교,광주광역시 북구 금재로 76,광주 북동천주교회,4.2,12,역사 사찰/기독교 광주 북동천주교회
역사,실내,사찰/기독교,광주광역시 동구 증심사길160번길 89,약사암,5,1,역사 사찰/기독교 약사암
역사,실내,사찰/기독교,광주광역시 남구 백서로70번길 6,오웬기념각,4,30,역사 사찰/기독교 오웬기념각
역사,실내,사찰/기독교,광주광역시 남구 제중로47번길 20,우일선 선교사사택,4.4,166,역사 사찰/기독교 우일선 선교사사택
역사,실내,사찰/기독교,광주광역시 동구 증심사길 177,증심사,4.3,483,역사 사찰/기독교 증심사
역사,실내,사찰/기독교,광주광역시 서구 운천로 230,무각사,4.4,354,역사 사찰/기독교 무각사
역사,실내,사찰/기독교,광주광역시 동구 중앙로 197,원각사,4.6,18,역사 사찰/기독교 원각사
역사,실내,사찰/기독교,광주광역시 남구 백서로 13,광주 구 수피아여학교 수피아홀,0,0,역사 사찰/기독교 광주 구 수피아여학교 수피아홀
역사,실내,사찰/기독교,광주광역시 남구 백서로 13,광주 구 수피아여학교 윈스브로우홀,0,0,역사 사찰/기독교 광주 구 수피아여학교 윈스브로우홀
역사,실내,사찰/기독교,광주광역시 북구 무등로 1514-35,원효사,4.3,411,역사 사찰/기독교 원효사
역사,실외,선비문화,광주광역시 광산구 본량본촌길 29,만취정,4.4,5,역사 선비문화 만취정
역사,실외,선비문화,광주광역시 광산구 산월로21번길 26,무양서원,3.9,27,역사 선비문화 무양서원
역사,실외,선비문화,광주광역시 서구 금호운천길 31,병천사,3.9,29,역사 선비문화 병천사
역사,실외,선비문화,광주광역시 남구 칠석동 129,부용정,4.6,5,역사 선비문화 부용정
역사,실외,선비문화,광주 남구 이장동 166-1,양과동정,3.8,13,역사 선비문화 양과동정
역사,실외,선비문화,광주광역시 광산구 왕동 산3,용진정사,4.1,36,역사 선비문화 용진정사
역사,실외,선비문화,광주광역시 남구 지산재길 51,지산재,4.2,12,역사 선비문화 지산재
역사,실외,선비문화,광주광역시 북구 충효동 397-3,취가정,4,43,역사 선비문화 취가정
역사,실외,선비문화,광주광역시 남구 포충로 767,포충사,4.4,268,역사 선비문화 포충사
역사,실외,선비문화,광주 북구 금곡동 718,풍암정,4,4,역사 선비문화 풍암정
역사,실외,선비문화,광주광역시 광산구 풍영정길 21,풍영정,4,69,역사 선비문화 풍영정
역사,실외,선비문화,광주광역시 광산구 동곡분토길 195,호가정,4.1,82,역사 선비문화 호가정
역사,실외,선비문화,광주광역시 광산구 광곡길 133,월봉서원(빙월당),4.5,117,역사 선비문화 월봉서원(빙월당)
역사,실외,선비문화,광주광역시 북구 무등로 1050,충민사,4.6,14,역사 선비문화 충민사
역사,실외,선비문화,광주광역시 남구 중앙로107번길 5,광주향교,4,34,역사 선비문화 광주향교
역사,실외,선비문화,광주광역시 서구 동하길 10,만귀정,4.3,65,역사 선비문화 만귀정
역사,실외,선비문화,광주광역시 북구 송강로 13,충장사,4,103,역사 선비문화 충장사
역사,실외,선비문화,광주광역시 서구 화운로156번길 17-8,화담사,3.9,17,역사 선비문화 화담사
